UID	row_clusters-flat	c1_AML-fold:c1_AML-fold	c3_AML-fold:c3_AML-fold	c6_AML-fold:c6_AML-fold	c7_AML-fold:c7_AML-fold	c8_AML-fold:c8_AML-fold	c9_AML-fold:c9_AML-fold	c10_AML-fold:c10_AML-fold	c12_AML-fold:c12_AML-fold
column_clusters-flat		NA	NA	NA	NA	NA	NA	NA	NA
c1_AML-fold:Adc	NA	1.67993896598	-0.108977384839	0.0	-0.102129725938	0.0	0.0	-0.004300126225	0.0
c1_AML-fold:Erbb3	NA	1.95615167368	-0.108435522379	-0.213954131622	-0.18038783368	0.0	-0.294656899036	-0.271112188683	0.0
c1_AML-fold:Il2ra	NA	1.82657157398	-0.0563112751149	0.0145827471778	0.263978706582	-0.0712687109824	0.118149304336	0.108510512975	-0.0330442394464
c1_AML-fold:Cul9	NA	2.12521446287	-0.22422984092	-0.3961752914	-0.123342438887	0.00998804414706	-0.301643985379	0.334081883333	-0.00697219978571
c1_AML-fold:Gstm5	NA	2.80280123195	0.245533756084	0.0562353582167	-0.476905112989	-0.385414391659	0.350986019621	0.164036874358	0.03151229725
c1_AML-fold:Ccnyl1	NA	1.28019708755	-0.176879513345	-0.179518021111	0.0669268946089	0.310117561706	-0.0812768588929	-0.215191294108	0.0
c1_AML-fold:Scml4	NA	1.73897507145	-0.112700285199	-0.0638495402222	0.0747883905556	0.01995814	-0.0123153034643	0.630443956892	0.00144708698214
c1_AML-fold:Hinfp	NA	2.78577297546	0.0859995916667	-0.1247494772	-0.222405783842	0.286213767971	-0.143601173464	1.00117637792	0.0
c1_AML-fold:Rp9	NA	3.83172043455	-1.45955701448	0.471104355844	0.435103330349	-0.127436153282	-1.19609819756	-0.608770311842	0.00815786294643
c1_AML-fold:Ccl5	NA	5.39850238055	1.30205271159	-0.364842712956	1.73324781111	-0.946769925018	-0.342499494	-0.174235038325	0.0
c1_AML-fold:Gnb4	NA	3.98423080373	0.887361422636	0.714577575778	0.384983145713	1.96277439099	0.880052141614	-0.0278341503833	0.0298483575
c1_AML-fold:Ctsg	NA	4.98892089322	1.3406564033	-2.3760326375	-0.999819507227	-1.16095657984	0.2219103467	-0.393760792075	-1.45651253146
c1_AML-fold:Rbms2	NA	2.92621816766	-0.434659188743	-1.00787130927	0.516132918167	-0.237897798876	0.289436416586	0.862813872267	-0.0203935555714
c1_AML-fold:Qpctl	NA	1.87591990613	-0.449114126897	0.208549724228	-1.110444035	0.135378953206	-0.448629012679	-0.587830592975	0.016425030875
c1_AML-fold:Vps13c	NA	1.70671541058	0.240472020253	-0.597153517428	-0.719932451967	-0.643168147324	-0.229669691007	-1.33421564113	-0.317558801679
c1_AML-fold:Trit1	NA	3.82631059486	-0.389845290341	0.9076780973	0.423130380022	1.08493699726	-0.600588597743	-0.979463272292	0.703596699375
c1_AML-fold:2310001H17Rik	NA	3.16806950727	0.406813264563	-0.679171320089	0.993890638622	0.172970628118	0.975104620493	1.14969237137	0.436173071946
c1_AML-fold:Zrsr1	NA	1.99413387179	-0.393143545023	0.224213441044	0.496926517164	0.0493762668235	0.939087422	0.0352551111667	-0.0889263573929
c1_AML-fold:Rnf181	NA	4.96206232256	0.56758764418	-1.89902755082	1.49213904265	-1.95147153417	-0.332577127207	-1.06620311747	-1.94807335855
c1_AML-fold:Hist1h4h	NA	4.07445224046	1.72479295476	2.00512166683	-0.0676438803044	0.159378369912	1.20536771877	1.14122194583	0.638805042571
c1_AML-fold:Ctsd	NA	4.93320893615	2.23436019762	-0.0204425180444	2.12557627564	0.120710500276	-0.562118383593	-0.323331025608	-0.166563728625
c1_AML-fold:Lfng	NA	1.1325068716	-0.0493604620651	0.609573213	0.292512877311	-0.0782713792824	-0.0928327783571	-0.0322601068667	-0.233073886143
c1_AML-fold:Tacstd2	NA	4.4224682653	0.972684183709	-0.0997759964167	-1.38501311128	-0.134351026112	-0.507990984379	1.43277964549	1.7846634688
c1_AML-fold:Tef	NA	1.90425801689	0.284883537	0.844456656211	0.222860098473	-0.613607494594	-0.648001317643	-0.285477501408	-0.013502416
c1_AML-fold:Slc39a4	NA	0.961458910125	-0.0453620338046	-0.0591904963556	0.622928975396	0.0124186176765	0.0	-0.077931914725	0.0
c1_AML-fold:Fnbp1l	NA	2.38856956159	0.300633114801	0.0167071690278	1.15955786971	0.862256754335	-0.0720482800357	-0.385371740333	-0.599354975054
c1_AML-fold:Cd63	NA	5.36924593707	3.18839667614	1.67779520612	-0.255712860444	0.512702658453	2.52830867873	0.771065342425	0.0827089464643
c1_AML-fold:Mvd	NA	1.86179668599	-0.117113633207	-0.158611794178	-0.216380255642	0.104546212371	1.15838090568	-0.801437232775	-0.218447639089
c1_AML-fold:Tmem120b	NA	1.19807522275	-0.0824216577126	0.0	0.235784774611	0.0764161996176	0.0	0.802890200992	0.422140468625
c1_AML-fold:Dync2li1	NA	4.41885938826	-0.0641239971954	-0.4391913532	-1.44200177526	0.0270113598235	0.934557132493	2.77725834015	0.0
c1_AML-fold:Ginm1	NA	3.90708750058	0.262851354628	-2.06840071293	1.38432558571	-1.16342180686	-0.359387463814	0.842526080667	-2.39491419986
c1_AML-fold:Dmxl2	NA	1.33182873992	0.217545710146	-0.340568515067	0.325566627682	0.00207027435294	0.328965966343	0.330965775717	0.838894061429
c1_AML-fold:Fut8	NA	4.57527693268	1.9947176937	0.0831603823056	1.35082045734	1.2438982001	2.78750350308	2.34965666783	2.50284918027
