UID	row_clusters-flat	Cell27-B7	Cell12-F3	Cell4-H1	Cell75-E7	Cell45-B12	Cell54-A2	Cell96-A12	Cell19-E5	Cell69-D5	Cell31-G7	Cell52-G1	Cell33-B8	Cell83-B9	Cell40-G10	Cell36-H8	Cell7-F2	Cell94-C11	Cell35-E8	Cell16-F4	Cell39-C10	Cell18-A5	Cell23-B6	Cell53-H1	Cell32-H7	Cell2-D1	Cell64-E4	Cell82-F8	Cell6-E2	Cell37-D9	Cell55-D2	Cell22-A6	Cell44-A12	Cell20-F5	Cell3-F1	Cell15-D4	Cell46-D12	Cell14-B4	Cell10-B3	Cell88-B10	Cell1-A1	Cell26-A7	Cell74-D7	Cell93-B11	Cell47-F12	Cell29-E7	Cell56-E2	Cell51-E1	Cell61-H3	Cell65-F4	Cell25-E6	Cell48-H12	Cell66-A5	Cell77-G7	Cell91-E10	Cell17-G4	Cell60-G3	Cell71-E6	Cell59-E3	Cell38-E9	Cell28-D7	Cell81-E8	Cell68-C5	Cell70-E5	Cell8-G2	Cell76-F7	Cell42-F11	Cell11-E3	Cell62-A4	Cell21-H5	Cell80-C8	Cell5-B2	Cell43-G11	Cell9-H2	Cell57-H2	Cell85-G9	Cell89-C10	Cell87-A10	Cell34-C8	Cell24-D6	Cell41-E11	Cell63-D4	Cell67-B5	Cell78-H7	Cell58-D3	Cell30-F7	Cell13-H3	Cell86-H9	Cell79-B8	Cell92-A11	Cell50-B1	Cell72-G6	Cell95-G11	Cell49-A1	Cell84-F9	Cell90-D10	Cell73-B7
Vcam1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50589093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23878686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.695993813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.310340121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.201633861	0.0	0.150559677	0.0	7.458447627	0.0	8.779653702	4.713145902	0.0	0.0	0.0	0.0	7.387328072	0.0
Mcemp1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.580145484	0.0	0.0	0.0	0.0	0.799087306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.799087306	6.499367566	0.0	0.0	0.0	0.0	0.748461233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.948600847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.070389328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.774589417	9.494135557	8.086401646	5.847245307	9.730792776	9.013992565	10.69838345	9.160577378	4.851499202
Slc40a1	2	0.0	0.0	0.0	0.0	0.0	0.201633861	0.344828497	0.0	0.0	0.0	0.50589093	0.0	0.0	0.0	0.275007047	0.0	0.0	0.0	8.999492713	0.214124805	0.35614381	0.321928095	0.0	0.0	0.201633861	0.310340121	0.22650853	0.0	0.23878686	0.189033824	0.0	0.22650853	0.0	0.0	0.0	8.666437062	0.189033824	0.23878686	0.0	0.0	0.263034406	0.333423734	0.0	0.0	0.0	0.0	0.411426246	0.0	0.0	0.0	0.0	0.411426246	0.0	0.0	0.0	0.389566812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.310340121	0.0	0.0	0.0	0.0	0.0	0.389566812	0.0	0.0	0.333423734	0.0	0.0	4.715344295	0.0	0.0	0.0	0.0	6.665193773	5.024142346	8.083745237	6.98879828	9.226460362	7.751008388	6.824895114	0.0	8.700023496	7.455984709	8.184726604	0.0
Gca	2	1.879705766	0.0	0.0	0.0	0.389566812	0.0	0.0	0.0	0.0	0.367371066	0.0	7.838762722	5.867896464	0.0	0.0	0.5360529	0.0	0.0	0.0	0.0	0.0	0.333423734	0.0	0.0	5.178714641	0.310340121	0.22650853	0.0	0.0	0.0	0.0	6.503666755	0.0	0.0	0.22650853	0.0	0.0	0.464668267	0.0	0.713695815	4.008988783	1.367371066	0.0	0.0	0.0	0.263034406	0.0	0.0	0.0	0.321928095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.827819025	0.0	0.0	0.40053793	0.0	0.0	0.0	0.739848103	0.0	0.310340121	0.0	0.0	0.443606651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.494735605	1.704871964	0.0	2.634593268	3.801158656	0.0	4.174725988	6.914086097	6.876394159	8.576333172	7.575161033	7.586389462	8.328226119	7.180008583	8.366016156	0.0
Cebpe	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.367371066	7.318949464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90303827	0.0	0.0	0.0	0.0	0.799087306	0.0	0.0	0.0	5.925287387	5.339493738	7.766263866	5.523561956	1.925999419	4.860962798	7.856425529	2.046141782	7.553053253	1.327687364	6.480265122	0.0
Hsd11b1	2	0.0	0.0	0.713695815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.545968369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.575312331	0.0	0.0	0.5360529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.782408565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.807354922	0.0	0.0	0.0	0.0	0.0	0.831877241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.583158004	0.0	0.0	0.0	0.0	0.0	0.0	7.795325387	5.024585638	9.287227553	8.639304528	8.584398838	0.422233001	0.0	9.895772172	6.502394256	6.832383717	8.139397866	0.0
Mogat2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.632268215	0.0	0.0	0.659924558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.411426246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.443606651	0.0	0.367371066	0.713695815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.443606651	0.0	0.0	0.0	0.0	0.422233001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.565597176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.575312331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.443606651	0.0	0.0	0.0	0.0	0.722466024	6.536208355	0.0	8.672213165	9.702501714	6.309430878	8.327058563	9.606960345	5.779522387	0.0	0.0	3.017921908	0.0
Fam101b	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.722466024	0.0	0.575312331	0.0	0.0	0.23878686	0.0	0.0	0.0	0.321928095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.321928095	0.0	0.0	0.0	0.0	0.0	0.0	0.344828497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.286881148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.286881148	0.0	0.0	0.0	0.0	0.0	0.0	6.052894047	4.498250868	7.316688823	4.385431037	8.217763872	6.249066034	1.056583528	2.289834465	0.0
Pilrb2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.622930351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.526068812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.432959407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.432959407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.34091827	0.695993813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.697106574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.779785005	5.556122818	6.646306689	3.683696454	7.026025399	6.930619079	6.128664587	7.097610797	7.318316841	0.0
Pglyrp1	2	-5.877380881000001	0.7129816069999997	1.725503527999999	-5.877380881000001	1.5753133829999992	1.7104341319999996	1.4832467649999996	-5.877380881000001	-5.877380881000001	-4.282832331000001	-5.877380881000001	-5.877380881000001	-5.877380881000001	-4.471388521000001	3.2056728879999987	1.4961803349999991	-0.08192560900000068	-5.877380881000001	-4.263849228000001	3.032122231999999	-5.877380881000001	1.8683270519999997	3.6477679509999987	-5.877380881000001	2.750736528999999	-0.14131725300000042	1.2031701959999994	1.4272214219999997	1.5541585099999997	2.766078513	2.811149195999999	2.3769864	2.3000884900000003	0.7084830219999994	3.0097483249999986	-5.877380881000001	-0.6203702630000008	1.9113048299999997	1.0895570979999993	1.341400286999999	-4.620370263000001	-3.1925621430000004	1.5254606519999996	0.25499031799999905	-0.5061705380000001	-5.877380881000001	1.2831964969999996	1.7690698249999999	0.08192560899999979	2.3042683429999986	-5.877380881000001	-3.3842459590000007	1.8670493489999993	-2.3032793730000005	-5.877380881000001	-5.877380881000001	-3.6324938220000007	-5.877380881000001	-5.877380881000001	-4.433774230000001	-5.877380881000001	-1.9120583330000005	3.2711211229999986	-3.6023738340000007	-5.877380881000001	1.805473287999999	-5.877380881000001	0.8732256239999998	-5.877380881000001	-5.877380881000001	0.7202992629999994	-5.877380881000001	-4.498869258000001	-5.877380881000001	-5.877380881000001	-5.877380881000001	-5.877380881000001	1.6146325059999995	1.1712694619999997	-5.877380881000001	-5.877380881000001	-5.877380881000001	0.10538458199999923	-5.877380881000001	2.9624212809999992	4.180786768999999	5.732319608999999	6.096933319	5.643890739	6.560454398999999	6.466260118999999	6.750004809	4.760910208999999	5.995043909	6.034685109	-1.3797685150000003
