UID	row_clusters-flat	Cell27-B7	Cell12-F3	Cell4-H1	Cell75-E7	Cell45-B12	Cell54-A2	Cell96-A12	Cell19-E5	Cell69-D5	Cell31-G7	Cell52-G1	Cell33-B8	Cell83-B9	Cell40-G10	Cell36-H8	Cell7-F2	Cell94-C11	Cell35-E8	Cell16-F4	Cell39-C10	Cell18-A5	Cell23-B6	Cell53-H1	Cell32-H7	Cell2-D1	Cell64-E4	Cell82-F8	Cell6-E2	Cell37-D9	Cell55-D2	Cell22-A6	Cell44-A12	Cell20-F5	Cell3-F1	Cell15-D4	Cell46-D12	Cell14-B4	Cell10-B3	Cell88-B10	Cell1-A1	Cell26-A7	Cell74-D7	Cell93-B11	Cell47-F12	Cell29-E7	Cell56-E2	Cell51-E1	Cell61-H3	Cell65-F4	Cell25-E6	Cell48-H12	Cell66-A5	Cell77-G7	Cell91-E10	Cell17-G4	Cell60-G3	Cell71-E6	Cell59-E3	Cell38-E9	Cell28-D7	Cell81-E8	Cell68-C5	Cell70-E5	Cell8-G2	Cell76-F7	Cell42-F11	Cell11-E3	Cell62-A4	Cell21-H5	Cell80-C8	Cell5-B2	Cell43-G11	Cell9-H2	Cell57-H2	Cell85-G9	Cell89-C10	Cell87-A10	Cell34-C8	Cell24-D6	Cell41-E11	Cell63-D4	Cell67-B5	Cell78-H7	Cell58-D3	Cell30-F7	Cell13-H3	Cell86-H9	Cell79-B8	Cell92-A11	Cell50-B1	Cell72-G6	Cell95-G11	Cell49-A1	Cell84-F9	Cell90-D10	Cell73-B7
Mcu	2	0.0	0.0	0.0	0.0	0.0	6.514437914	0.0	5.790511412	0.0	0.748461233	0.0	0.0	0.0	0.0	0.0	0.0	0.464668267	0.0	7.704041955	0.250961574	0.0	8.158155225	6.572283367	0.0	2.189033824	7.698565772	5.586464526	5.568640195	4.795974694	6.765534746	0.0	7.708532139	5.862203399	5.053545818	0.263034406	3.518535139	0.22650853	0.0	0.0	3.514753498	0.298658316	0.0	0.0	0.0	0.0	0.298658316	0.0	0.333423734	0.0	0.0	0.0	0.475084883	0.555816155	0.0	0.0	0.0	0.40053793	0.0	0.0	0.659924558	0.0	1.207892852	0.0	0.0	0.0	0.275007047	0.0	0.0	0.0	0.0	0.0	0.0	7.593801929	0.0	0.0	0.0	0.0	6.50255338	0.0	0.0	0.0	3.600507645	0.0	8.525442506	6.778865631	6.689858236	8.812273589	8.31953665	6.972118218	7.279006914	0.0	4.627023106	8.441657764	0.0	7.538150123	0.0
Mrgpra2b	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.201633861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.470048726	0.0	0.910732662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.138527801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.10949116	7.251056285	7.621832103	0.0	5.419201774	8.498210969	8.558956363	9.055743373	0.0
Cd63	2	11.4605634	9.647044627	9.399982809	8.873136469	11.32113327	7.968321196	7.642918133	9.674068654	8.080071343	8.986865972	9.3886416	8.699329526	7.145983079	10.64458637	9.172027399	9.837139068	10.16988743	8.860745583	0.0	11.57797634	10.19299549	11.36617466	12.33655398	8.566624913	9.422779627	10.35702409	4.671293372	7.687480667	8.99859043	10.14174953	8.71221745	7.461315728	7.459349645	7.552592254	7.820880988	1.521050737	8.549091546	0.90303827	9.526068812	9.516369787	9.957377782	1.14404637	1.257010618	0.0	1.555816155	0.941106311	1.35614381	0.0	0.0	0.0	0.0	0.0	1.526068812	1.304511042	0.0	0.0	2.865918815	0.0	1.084064265	0.0	0.0	0.0	0.0	1.201633861	0.0	1.384049807	1.070389328	0.0	1.819668183	0.86393845	0.956056652	0.0	0.0	0.0	2.922197848	0.0	1.150559677	9.16004788	7.78404587	2.301587647	1.084064265	5.796234335	9.056962793	3.854993017	11.14901034	12.23319723	11.82208082	12.31970599	10.57730608	11.44273101	7.397974049	11.49622964	9.279865903	10.10543713	9.523738362	0.0
Olr1	2	0.0	0.298658316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.873567152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23878686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.275007047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3950628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.599540966	0.0	0.0	1.879705766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.516015147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.071891353	7.697454136	0.0	0.189033824	0.545968369	1.883620816	0.0	0.0	0.0	0.773996325	0.0
1700020L24Rik	2	0.0	0.0	7.490650349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.056583528	0.739848103	0.0	0.0	0.0	0.0	3.731183242	0.0	0.0	0.0	0.0	0.0	0.0	0.722466024	0.0	0.0	4.253232939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.868637384	0.0	4.556429415	0.0	0.0	0.0	0.0	6.356672044	0.731183242	0.0	7.181897643	2.3305584	0.0	0.0	0.0	7.977394419	0.0	2.35614381	0.0
Gm12505	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44625623	0.0	1.007195501	0.0	0.0	0.0	0.0	0.0	1.989139007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.776103988	0.0	0.0	1.669026766	1.327687364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.726831217	0.0	0.0	0.0	0.948600847	0.0	0.0	0.0	0.0	0.0	0.0	1.906890596	0.0	0.0	2.939226578	1.883620816	0.0	1.713695815	0.0	0.0	0.0	0.0	0.0
Arsb	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.82374936	0.0	0.0	6.691813297	4.314696526	0.0	0.678071905	0.632268215	0.0	0.0	9.397931279	0.0	0.704871964	0.0	0.0	5.574101508	0.367371066	3.415488271	0.0	0.0	0.0	0.0	0.0	2.599317794	2.912649865	0.0	0.0	2.861955364	0.0	7.166916252	0.0	7.02613609	0.22650853	6.604071324	5.311793718	0.0	0.0	0.0	3.282439805	0.0	0.731183242	0.0	0.0	3.003602237	6.364747506	0.0	1.831877241	9.080284578	7.388878339	0.0	6.276310547	0.0	0.344828497	7.139244363	8.574025798	0.485426827	5.019257119	0.0	0.584962501	6.558879853	7.962259807	5.411426246	4.040015679	0.0	0.0	6.399171094	0.0	0.0	0.0	0.298658316	0.0	0.0	7.294069295	6.959074601	1.531069493	5.470862199	6.999323578	1.550900665	0.0	0.0	0.0	0.0	0.0	0.0
Actn1	2	1.201633861	6.221297103	0.687060688	0.0	5.998421189	5.146084939	0.0	0.0	0.0	4.191404729	0.0	0.250961574	5.197708158	0.0	5.302319051	3.559491813	3.713695815	3.327687364	0.0	4.876271361	0.584962501	5.181102551	0.526068812	0.0	5.108942569	0.0	2.914564523	0.0	0.0	4.832890014	4.036503334	4.931683057	5.765799923	3.770829046	6.181897643	0.0	0.0	2.604071324	0.0	0.0	5.80451827	6.782801688	0.0	5.249066034	0.0	5.943218087	5.48703608	5.260778432	7.150661214	6.773732651	3.451540833	0.0	1.049630768	0.0	0.0	6.678635348	0.0	6.172127437	0.0	0.0	0.0	5.709014865	5.395748328	0.0	0.367371066	4.871843649	6.978310052	0.713695815	5.743891911	0.0	0.0	0.333423734	5.163096138	6.925999419	0.0	0.584962501	0.0	0.86393845	0.565597176	0.0	1.89917563	0.163498732	3.163498732	0.650764559	4.042644337	6.260025656	4.204766751	5.021479727	6.654779217	4.655351829	1.292781749	3.832890014	5.791032617	7.24164954	3.307428525	9.321747747
4632428N05Rik	2	0.0	0.0	0.389566812	2.983677695	0.0	0.137503524	0.0	0.0	0.0	0.0	0.0	3.538538164	0.0	0.214124805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.827819025	5.085339669	0.59454855	5.789990019	3.060047384	0.0	0.0	0.910732662	0.0	0.163498732	0.432959407	0.0	0.0	0.0	0.0	0.0	0.0	4.505255801	6.67030217	5.348019909	0.263034406	0.0	0.0	0.0	4.299391206	7.407607682	0.98550043	4.211012193	0.0	0.0	0.0	0.0	0.0	7.41869595	0.0	0.0	4.628190335	0.0	0.0	0.0	0.0	0.0	0.0	0.321928095	0.0	0.0	6.238213641	2.948600847	0.0	3.966245873	0.0	0.713695815	0.0	5.61176256	7.346779643	1.232660757	0.678071905	1.10433666	0.713695815	0.0	0.0	0.0	2.244887059	0.941106311	4.881664619	5.125568452	6.496334513	7.13996057	6.811727898	4.055716264	0.0	4.913128768	1.989139007	0.0
Pde2a	2	0.0	0.263034406	0.0	0.0	0.0	3.231125158	0.0	0.0	0.35614381	0.0	0.0	0.22650853	0.0	0.0	7.335301021	0.0	0.0	0.0	0.0	6.469560422	0.0	0.0	0.176322773	0.0	0.0	0.0	5.760753208	0.0	0.0	1.691534165	3.873813198	0.0	0.35614381	0.0	0.0	4.221103725	0.0	0.201633861	0.189033824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.722466024	0.0	0.0	0.0	0.0	0.0	0.0	0.263034406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22650853	0.0	0.0	0.0	0.0	0.0	0.275007047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.835355674	0.0	4.22650853	0.163498732	7.369728197	2.060047384	8.069906202	0.0	8.740758948	5.638073837	0.0
Dgat2	2	0.0	0.0	0.0	0.0	8.387845013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13422094	0.0	0.0	0.333423734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.565597176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.266036894	0.0	0.0	0.0	5.039577103	8.055173958	5.067380578	1.867896464	0.250961574	0.0	0.0	1.0	0.0	0.0
Rhou	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35614381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62058641	6.225159226	7.2329485	0.0	0.0
Chd7	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.250961574	0.0	0.0	0.0	0.0	0.0	0.0	0.084064265	0.0	0.0	0.0	0.0	0.0	0.0	4.038260575	0.0	0.0	0.0	2.117695043	0.0	0.0	0.0	0.0	0.070389328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.367371066	0.0	0.0	0.0	0.0	0.0	2.211012193	0.0	0.0	0.0	4.350497247	0.0	0.378511623	1.40599236	0.0	3.967168608	1.220329955	0.0	0.214124805	0.111031312	2.121015401	5.926711099	2.367371066	0.0	6.202809492	0.367371066	1.207892852	6.224001674	0.0	5.589164237	0.0	0.310340121	0.0	0.0	0.0	0.310340121	0.097610797	0.0	0.0	0.0	0.0	4.568640195	2.735522177	4.616475329	0.0	3.12763328	0.0	0.0	6.662632775	0.189033824	3.350497247	0.0
